Close_AAL,Close_ALGT,Close_ALK,Close_DAL,Close_HA,Close_LUV,Close_BCS,Close_CS,Close_DB,Close_GS,Close_MS,Close_WFC,Close_BHC,Close_JNJ,Close_MRK,Close_PFE,Close_RHHBY,Close_UNH,Close_AAPL,Close_AMZN,Close_FB,Close_GOOG,Close_IBM,Close_MSFT,Close_SP500
0.9,-1.87,-0.64,1.8,-1.7,0.05,-0.33,0.12,0.42,-0.81,-0.21,-0.69,6.48,-0.96,0.14,0.18,-0.48,-1.55,-1.41,-0.74,-0.05,-0.17,0.26,-0.45,-0.47
1.51,0.79,3.44,0.7,5.18,0.98,2.38,1.81,1.35,3.04,3.29,2.31,-4.75,2.77,2.38,3.15,1.64,-1.56,1.5,3.23,2.01,1.62,0.05,0.71,1.49
-1.69,-0.82,-0.2,0.39,1.23,-1.65,0.78,2.06,0.99,0.12,1.01,0.36,5.15,1.12,1.5,0.97,1.85,-0.16,-0.73,1.48,1.65,0.07,0.2,1.06,0.46
1.69,2.42,1.37,2.34,4.69,2.1,0.96,-0.08,2.43,0.3,-4.8,-0.61,-7.73,-0.31,-0.16,0.26,-0.67,0.63,0.62,0.42,0.95,0.59,-0.78,0.23,0.03
0.76,-1.04,-0.49,-0.24,1.19,-0.07,-0.89,0.78,-0.59,-0.12,-0.22,0.99,-10.43,-0.36,-1.96,-1.45,-1.33,-0.26,1.83,-2.14,-1.49,-2.38,-5.75,0.31,-0.14
-1.07,-0.78,-2.3,-1.42,4.78,-0.82,-2.44,-3.78,-1.06,-3.13,-2.39,0.08,-19.17,0.04,0.4,-1.59,-1.4,-1.92,-0.01,-0.91,0.11,-1.18,0.2,-1.19,-0.58
3.79,-6.93,1.66,2.77,1.61,7.41,1.84,-2.44,1.71,2.15,2.76,1.77,-7.37,1.95,2.81,-0.39,1.45,-3.64,1.53,1.46,2.64,1.43,2.25,1.76,1.66
-0.7,1.02,4.11,0.37,4.31,2.61,0.06,1.97,1.45,1.06,0.83,1.28,5.72,0.78,1.67,2.16,1.31,1.85,3.1,6.23,2.53,7.7,0.41,10.08,1.1
1.75,-0.7,0.09,0.63,2.15,1.19,-0.45,1.05,-1.3,0.81,-0.21,-0.84,-5.27,-0.37,0.06,0.32,-1.12,0.53,-3.19,1.6,1.55,1.54,-0.7,2.61,-0.19
-0.02,1.31,-1.53,-0.88,-1.35,-0.66,-0.52,-0.88,-0.49,-0.37,-0.98,-0.31,-0.45,0.25,1.06,2.43,-0.42,2.44,-0.63,0.39,-0.07,-0.6,-4.04,-1.03,-0.26
-1.29,-2.12,-3.54,-1.44,-0.37,-0.13,1.3,2.21,0.36,2.69,3.75,2.46,6.81,0.29,3.05,1.31,1.38,0.34,4.12,1.0,0.48,0.63,2.15,0.54,1.18
0.0,-1.09,0.77,0.72,-0.63,0.9,-7.01,-1.61,-7.98,-0.75,0.3,-0.65,-4.7,0.89,-0.42,-1.92,0.21,-0.06,1.06,1.53,0.65,0.56,-0.2,-1.15,-0.04
0.78,-0.16,0.63,0.67,-0.17,1.03,-1.66,-0.12,0.22,-1.26,-1.7,-1.72,-15.9,-0.34,-0.38,-2.73,-0.15,-1.61,-0.85,-0.1,-2.77,-0.85,-0.33,-1.35,-0.48
-5.99,-6.22,-0.38,-3.64,1.59,-0.86,-4.36,-7.6,-8.73,1.54,2.91,0.79,-19.58,-1.14,-2.98,-1.63,-2.3,-5.41,-5.99,2.63,1.94,0.87,-5.95,0.38,-2.71
-1.43,0.24,1.17,-2.16,-0.34,-0.33,1.54,0.17,0.35,0.93,0.35,1.28,-2.77,1.34,1.26,-0.33,0.45,2.16,1.64,0.85,0.09,1.67,1.49,1.76,1.49
-1.24,0.51,0.9,-0.33,1.14,0.42,-0.87,-0.73,-0.7,-0.83,-1.35,-0.56,-4.09,0.28,0.02,-0.87,0.0,0.5,-0.43,-0.7,1.05,-0.5,0.08,-1.49,-0.13
-1.3,1.91,0.71,-0.04,0.45,0.83,1.61,0.7,2.83,1.62,1.96,1.29,3.24,1.15,0.97,1.34,0.36,2.5,3.17,3.15,2.51,2.03,1.49,1.66,1.62
1.32,0.76,1.46,1.59,3.05,1.21,0.86,0.22,1.19,-0.33,-0.23,0.54,15.7,-0.18,0.09,-3.06,0.09,-5.65,1.27,-0.34,-1.4,-0.21,0.68,0.17,-0.11
-0.24,3.12,3.32,0.52,2.58,0.96,-4.34,-3.11,-2.16,-0.81,-0.76,-0.27,8.33,-0.01,-0.33,-0.34,-0.09,2.12,0.44,1.09,1.0,2.46,1.29,0.46,0.38
0.24,1.27,-1.77,-0.04,-2.54,0.32,-1.19,-3.92,-1.66,-1.19,-0.8,-0.39,-3.95,0.28,-0.17,-2.64,-0.63,-0.72,-1.3,1.58,-0.34,-0.08,-0.03,0.0,-0.12
-2.53,-5.12,-1.01,-3.08,0.08,-2.61,0.3,-0.23,-0.51,-0.27,-0.15,-0.58,0.05,-0.71,-0.98,2.04,-0.87,0.92,0.96,-1.15,-1.13,-1.02,0.1,0.11,0.12
0.19,0.32,0.01,-0.78,-0.54,-0.76,0.45,2.55,0.24,0.25,0.06,-0.11,-0.49,-0.08,0.45,2.82,0.88,1.08,-0.72,0.62,-0.31,-0.02,-0.43,-1.03,-0.01
0.92,1.49,0.19,0.58,0.79,-0.13,0.6,-0.36,-0.04,0.7,0.51,0.31,0.08,0.4,0.45,-0.24,0.9,-0.06,-0.19,-0.31,0.04,0.28,0.33,0.45,0.06
-1.03,-9.39,-0.04,-1.44,-1.87,0.13,0.0,0.23,1.26,-0.24,1.54,-0.52,3.3,-1.1,-1.76,-0.06,0.0,-1.43,0.42,-1.26,-1.15,-1.02,0.69,0.78,-0.46
1.24,-0.85,3.04,8.01,5.0,-4.6,-4.83,-7.12,-9.96,-7.17,-7.06,-3.45,4.65,0.9,-1.53,-1.8,0.15,2.79,-4.92,-1.04,0.4,0.7,-2.5,1.45,-2.81
1.99,2.53,-0.02,1.93,-0.61,1.03,0.86,1.95,1.04,3.18,3.01,3.21,16.41,1.94,1.34,0.25,0.92,1.52,-1.77,0.11,-0.11,-0.58,1.37,0.11,1.06
1.41,-1.65,0.75,1.9,2.06,1.31,1.94,2.59,2.05,2.31,2.34,1.71,8.1,1.08,2.12,0.99,2.01,1.04,0.77,2.6,2.14,1.98,1.09,1.68,1.45
-1.71,-1.6,-1.96,-2.09,-1.95,-2.88,-1.44,-1.07,-0.96,-1.93,-3.66,-0.68,-5.98,-1.53,-2.52,-0.77,-2.0,0.33,-2.12,-0.76,-0.53,-1.14,-1.82,-0.77,-1.5
-3.23,-2.33,-1.45,-2.1,-2.09,-1.77,-0.77,0.47,-1.23,-3.9,-3.37,-3.03,-2.57,-1.63,-1.94,-1.05,-0.44,-2.85,-2.71,-0.97,-2.05,-1.35,-1.35,-2.82,-1.78
3.19,3.94,3.19,3.0,1.24,1.47,0.78,-0.42,1.37,1.29,1.25,0.43,0.22,-0.36,0.45,1.47,0.27,1.37,1.23,0.06,0.7,1.14,0.44,1.29,0.78
