Volume_AAL,Volume_ALGT,Volume_ALK,Volume_DAL,Volume_HA,Volume_LUV,Volume_BCS,Volume_CS,Volume_DB,Volume_GS,Volume_MS,Volume_WFC,Volume_BHC,Volume_JNJ,Volume_MRK,Volume_PFE,Volume_RHHBY,Volume_UNH,Volume_AAPL,Volume_AMZN,Volume_FB,Volume_GOOG,Volume_IBM,Volume_MSFT,Volume_SP500
13250300,136800,2437100.0,13839900.0,1328800.0,7619800.0,2681500.0,1903900.0,1171100.0,2918800.0,10943700.0,16002200.0,3880600.0,12761900.0,14905900.0,19446100.0,755500.0,6655700.0,132197200,2938000.0,19480300.0,1807700.0,3915700.0,19987800.0,3401920000
11125800,105300,1813200.0,15052900.0,912900.0,5741000.0,4218500.0,1525000.0,1985600.0,3252000.0,9877500.0,26269100.0,8142300.0,8881900.0,13731200.0,17729000.0,874500.0,5592200.0,177849600,3582100.0,19253400.0,1415500.0,3353000.0,24697800.0,3644590000
8185400,140100,2057000.0,8423700.0,1812500.0,5678500.0,2525500.0,1208500.0,1153800.0,5720100.0,12920500.0,18262400.0,10683900.0,9561900.0,14037500.0,26383100.0,716800.0,8012400.0,150694000,4937000.0,27557500.0,1885700.0,3476200.0,27189400.0,3746290000
11572900,171800,1657700.0,14240400.0,1369900.0,8188800.0,2191500.0,1074000.0,1348700.0,2977500.0,13804700.0,15676300.0,6033700.0,9495300.0,11092500.0,19202000.0,1606800.0,4416500.0,156930400,4315800.0,25412900.0,1611100.0,3483700.0,26450300.0,3595430000
8934600,107300,1401400.0,11037800.0,2647400.0,5506400.0,3191400.0,807000.0,4088400.0,2665700.0,39255600.0,15515700.0,9997900.0,8725400.0,8441900.0,15780800.0,633000.0,3707500.0,119036800,4375400.0,23729900.0,1477300.0,7954700.0,29387600.0,3287320000
7610800,115100,1269600.0,8745500.0,2527800.0,5711800.0,2318900.0,1769100.0,1344600.0,2736200.0,23590400.0,13583300.0,16210100.0,6041800.0,9944900.0,17491600.0,462200.0,3278400.0,195871200,4346200.0,30881800.0,2498200.0,16025600.0,30802200.0,3331500000
6935700,143500,1715400.0,7607300.0,1849200.0,5125100.0,2203900.0,4805700.0,1321400.0,3613800.0,22175900.0,17666700.0,88254200.0,7059800.0,11269900.0,33081200.0,991000.0,5305600.0,167180800,3343600.0,21917800.0,1791100.0,6990600.0,25144300.0,3627790000
14444600,512500,1474000.0,9528500.0,2212500.0,15268600.0,1578900.0,3501500.0,1537900.0,2609600.0,18753800.0,18263200.0,57766100.0,9887900.0,18449600.0,41366000.0,967200.0,10475000.0,166616400,7779400.0,26392100.0,4071000.0,5583200.0,56637100.0,4430850000
20281400,159000,1687400.0,11458600.0,1842500.0,12390500.0,2609100.0,2231400.0,1488400.0,2935700.0,14730700.0,16924800.0,24749300.0,9178900.0,15703500.0,27534600.0,949700.0,5497500.0,237467600,10692700.0,42809700.0,6653900.0,5370400.0,135227100.0,4108460000
11026200,191200,1373100.0,5579300.0,1786500.0,6306800.0,1982500.0,1884900.0,1465900.0,2573700.0,10952300.0,12661400.0,27810100.0,7561600.0,10975200.0,23291100.0,433300.0,3377100.0,265335200,4269700.0,25961200.0,2716600.0,3489400.0,64633300.0,3385800000
6824100,175400,1364400.0,7910200.0,1686800.0,7400800.0,3000500.0,3694600.0,1517000.0,1932300.0,13302400.0,12443900.0,10871800.0,8883200.0,13956900.0,40077800.0,982200.0,4008400.0,279537600,3787100.0,23795500.0,2245800.0,15008500.0,50999900.0,4216880000
7629700,144400,2020300.0,7435100.0,1804100.0,5990400.0,2637000.0,3001300.0,3154100.0,3231900.0,17285600.0,16681600.0,10701600.0,7256300.0,14710000.0,34862900.0,1061200.0,4405500.0,342205600,3926200.0,24081500.0,2178900.0,8511400.0,47000800.0,4698110000
5234400,180300,923700.0,5632800.0,1060300.0,4233600.0,5976800.0,3188200.0,4625800.0,3068100.0,12759600.0,11334900.0,18818900.0,6340700.0,8907300.0,72026800.0,621600.0,3257500.0,204909200,3896000.0,20316700.0,1456000.0,3710400.0,30202100.0,4008940000
8589700,168700,947200.0,7052500.0,1060200.0,8039700.0,2918900.0,1796800.0,1900900.0,2791600.0,13581100.0,18450500.0,44882500.0,10520300.0,11017400.0,57128900.0,946900.0,4237800.0,197461200,3874400.0,33487100.0,1908800.0,3984000.0,46619800.0,4256200000
7486100,132600,1054500.0,9207300.0,986900.0,5348000.0,3274200.0,1202400.0,1496300.0,2484000.0,8728000.0,16550200.0,14632000.0,8517500.0,11394500.0,18065900.0,1648900.0,3767300.0,183249600,6261100.0,30278400.0,2075500.0,4613800.0,36848200.0,4278750000
10201100,106700,1281700.0,12339200.0,1504800.0,5772700.0,2102500.0,1135700.0,1147100.0,4626600.0,11227400.0,11955400.0,10267200.0,5755800.0,6907800.0,25637100.0,1454400.0,2450000.0,152426800,7435900.0,49309200.0,1905900.0,4190800.0,32165200.0,3741240000
9596500,123000,1540400.0,10417300.0,1300200.0,4877500.0,1706800.0,1449800.0,1311400.0,1783800.0,10853300.0,11331900.0,13442800.0,5124000.0,7126600.0,29692200.0,825600.0,1981400.0,110467600,4320200.0,26807200.0,1510900.0,2815100.0,31551300.0,4427350000
11071100,142800,1070100.0,10952800.0,1304400.0,5641200.0,1435800.0,1340600.0,1485200.0,2509200.0,10396200.0,16612600.0,11844400.0,7148400.0,10811400.0,35963300.0,7091900.0,3319900.0,186698800,4469800.0,23836500.0,1684300.0,4149200.0,29710000.0,3926390000
6545500,110900,822900.0,7857100.0,993400.0,4140700.0,1874200.0,924600.0,1276400.0,1835800.0,8947800.0,12167600.0,25422700.0,5164500.0,6839200.0,90712700.0,1124700.0,15731900.0,173183200,4705200.0,25520600.0,1327100.0,4753600.0,28149200.0,3628110000
